id_song,track_name,artist(s)_name,id_rec_1,id_rec_2,id_rec_3,id_rec_4,id_rec_5,in_spotify_playlists,in_spotify_charts,streams,in_apple_playlists,in_apple_charts,in_deezer_playlists,in_deezer_charts,in_shazam_charts,bpm,et_key,et_mode,danceability_%,valence_%,energy_%,acousticness_%,instrumentalness_%,liveness_%,speechiness_%,artist_0,artist_1,artist_2,artist_3,artist_4,artist_5,artist_6,artist_7,genre_inferred,subgenre_inferred
710,Mastermind,Taylor Swift,27,568,453,59,339,1936,0,218320587,7,5,13,0,0,126,9,1,66,12,35,55,0,9,14,taylor swift,,,,,,,,Pop,
711,Circo Loco,"Drake, 21 Savage",712,718,429,460,715,1794,0,141720999,26,9,17,0,3,104,2,1,73,25,61,1,0,32,7,drake,21 savage,,,,,,,Hip-Hop / Rap,
712,Spin Bout U,"Drake, 21 Savage",711,718,715,16,232,1652,2,198365537,26,52,10,0,95,130,8,1,77,20,70,1,0,16,5,drake,21 savage,,,,,,,Hip-Hop / Rap,
713,"Would've, Could've, Should've",Taylor Swift,79,91,372,138,708,1715,0,177503916,4,5,8,0,0,158,8,1,48,55,84,43,0,15,12,taylor swift,,,,,,,,Pop,
714,Con La Brisa,"Ludwig Goransson, Foudeqush",12,303,480,88,488,486,0,71095708,8,1,7,0,0,114,5,0,62,25,44,51,33,14,3,ludwig goransson,foudeqush,,,,,,,Pop,
715,Privileged Rappers,"Drake, 21 Savage",712,711,718,709,439,1007,0,112436403,6,5,3,0,0,144,3,1,93,62,61,0,0,12,20,drake,21 savage,,,,,,,Hip-Hop / Rap,
716,The Astronaut,Jin,160,146,36,646,76,481,9,203436468,10,100,15,1,27,125,3,1,54,22,76,0,0,14,3,jin,,,,,,,,Pop,
717,BackOutsideBoyz,Drake,423,186,702,661,159,1045,0,93367537,8,5,2,0,0,142,3,0,85,40,43,4,0,39,32,drake,,,,,,,,Hip-Hop / Rap,
718,Broke Boys,"Drake, 21 Savage",711,712,715,709,554,1060,0,106249219,3,8,5,0,0,120,5,1,64,11,53,1,0,25,27,drake,21 savage,,,,,,,Hip-Hop / Rap,
719,The Great War,Taylor Swift,29,97,160,27,30,1274,0,181382590,1,6,11,0,0,96,3,1,57,55,74,22,0,8,4,taylor swift,,,,,,,,Pop,
720,My Mind & Me,Selena Gomez,208,697,441,145,417,953,0,91473363,61,13,37,1,0,144,4,1,60,24,39,57,0,8,3,selena gomez,,,,,,,,Pop,
721,Bigger Than The Whole Sky,Taylor Swift,433,710,112,79,339,1180,0,121871870,4,0,8,0,0,166,6,1,42,7,24,83,1,12,6,taylor swift,,,,,,,,Pop,
722,A Veces (feat. Feid),"Feid, Paulo Londra",692,723,1,178,655,573,0,73513683,2,0,7,0,0,92,2,1,80,81,67,4,0,8,6,feid,paulo londra,,,,,,,Latin / Reggaeton,
723,En La De Ella,"Feid, Sech, Jhayco",722,1,692,178,655,1320,0,133895612,29,26,17,0,0,97,2,1,82,67,77,8,0,12,5,feid,sech,jhayco,,,,,,Latin / Reggaeton,
724,Alone,Burna Boy,603,144,522,210,660,782,2,96007391,27,18,32,1,0,90,9,0,61,32,67,15,0,11,5,burna boy,,,,,,,,Pop,
